Date(yyyy:mm:dd),Time(hh:mm:ss),AOD_440nm,AOD_1020nm,440-870_Angstrom_Exponent,Precipitable_Water(cm),Tipo
2018-08-05,00:00:00,0.644125,0.133419,1.863592,1.373577,Constante
2018-08-05,01:00:00,0.644125,0.133419,1.863592,1.373577,Constante
2018-08-05,02:00:00,0.644125,0.133419,1.863592,1.373577,Constante
2018-08-05,03:00:00,0.644125,0.133419,1.863592,1.373577,Constante
2018-08-05,04:00:00,0.644125,0.133419,1.863592,1.373577,Constante
2018-08-05,05:00:00,0.644125,0.133419,1.863592,1.373577,Constante
2018-08-05,06:00:00,0.644125,0.133419,1.863592,1.373577,Constante
2018-08-05,07:00:00,0.644125,0.133419,1.863592,1.373577,Constante
2018-08-05,08:00:00,0.644125,0.133419,1.863592,1.373577,Constante
2018-08-05,09:00:00,0.644125,0.133419,1.863592,1.373577,Constante
2018-08-05,10:00:00,0.644125,0.133419,1.863592,1.373577,Constante
2018-08-05,11:00:00,0.41023,0.074125,2.020316,1.364718,Python
2018-08-05,12:00:00,0.337587,0.057858,2.040924,1.349773,Python
2018-08-05,13:00:00,0.186766,0.036741,1.911385,1.31397,Excel
2018-08-05,14:00:00,0.1809,0.0363,1.8895,1.3261,Excel
2018-08-05,15:00:00,0.17629999999999998,0.0358,1.8711,1.3359,Excel
2018-08-05,16:00:00,0.1717,0.0353,1.8527,1.3457000000000001,Excel
2018-08-05,17:00:00,0.1671,0.0348,1.8343,1.3555000000000001,Excel
2018-08-05,18:00:00,0.16249999999999998,0.0343,1.8159,1.3653,Excel
2018-08-05,19:00:00,0.15789999999999998,0.0338,1.7974999999999999,1.3751,Excel
2018-08-05,20:00:00,0.1533,0.033299999999999996,1.7791000000000001,1.3849,Excel
2018-08-05,21:00:00,0.1487,0.032799999999999996,1.7607,1.3947,Excel
2018-08-05,22:00:00,0.1441,0.032299999999999995,1.7423,1.4045,Excel
2018-08-05,23:00:00,0.13949999999999999,0.031799999999999995,1.7239,1.4143000000000001,Excel
