Date(yyyy:mm:dd),Time(hh:mm:ss),AOD_440nm,AOD_1020nm,440-870_Angstrom_Exponent,Precipitable_Water(cm),Tipo
2020-05-03,00:00:00,0.1018,0.0258,1.6024,0.28990000000000005,Excel
2020-05-03,01:00:00,0.1062,0.026699999999999998,1.6113,0.2963,Excel
2020-05-03,02:00:00,0.1106,0.0276,1.6202,0.3027,Excel
2020-05-03,03:00:00,0.104308,0.028514,1.564831,0.320604,Python
2020-05-03,04:00:00,0.105994,0.029143,1.554825,0.32931,Python
2020-05-03,05:00:00,0.104061,0.025336,1.689026,0.332315,Python
2020-05-03,06:00:00,0.105355,0.028744,1.572779,0.328953,Python
2020-05-03,07:00:00,0.111056,0.0313,1.536945,0.333371,Python
2020-05-03,08:00:00,0.117074,0.032391,1.580265,0.332719,Python
2020-05-03,09:00:00,0.123158,0.040237,1.42247,0.339804,Python
2020-05-03,10:00:00,0.124051,0.040846,1.411644,0.345238,Python
2020-05-03,11:00:00,0.151146,0.072115,0.994885,0.353628,Python
2020-05-03,12:00:00,0.188986,0.115021,0.664262,0.361018,Python
2020-05-03,13:00:00,0.199134,0.125869,0.612183,0.370318,Python
2020-05-03,14:00:00,0.322526,0.259516,0.303318,0.384864,Python
2020-05-03,15:00:00,0.275325,0.213662,0.350746,0.374919,Python
2020-05-03,16:00:00,0.286651,0.225,0.336975,0.372905,Python
2020-05-03,17:00:00,0.309846,0.246026,0.321253,0.365143,Python
2020-05-03,18:00:00,0.363865,0.302623,0.260499,0.369306,Python
2020-05-03,19:00:00,0.422654,0.360538,0.225231,0.392874,Python
2020-05-03,20:00:00,0.394839,0.329196,0.257352,0.405355,Constante
2020-05-03,21:00:00,0.394839,0.329196,0.257352,0.405355,Constante
2020-05-03,22:00:00,0.394839,0.329196,0.257352,0.405355,Constante
2020-05-03,23:00:00,0.394839,0.329196,0.257352,0.405355,Constante
