Date(yyyy:mm:dd),Time(hh:mm:ss),AOD_440nm,AOD_1020nm,440-870_Angstrom_Exponent,Precipitable_Water(cm),Tipo
2020-07-24,00:00:00,0.281543,0.087116,1.416602,1.993148,Constante
2020-07-24,01:00:00,0.281543,0.087116,1.416602,1.993148,Constante
2020-07-24,02:00:00,0.281543,0.087116,1.416602,1.993148,Constante
2020-07-24,03:00:00,0.2000095,0.0462800625,1.7931124375,1.9444596875,Python
2020-07-24,04:00:00,0.1940546666666667,0.04383466666666667,1.763942,1.975644666666667,Python
2020-07-24,05:00:00,0.199753875,0.049650125,1.689331125,2.029383375,Python
2020-07-24,06:00:00,0.1827993920454545,0.04321878977272728,1.757576244318182,2.042811596590909,Python
2020-07-24,07:00:00,0.1658449090909091,0.03678745454545455,1.825821363636364,2.056239818181818,Python
2020-07-24,08:00:00,0.176997375,0.036483,1.893262,2.101854,Python
2020-07-24,09:00:00,0.2049625,0.045173,1.789636,2.1177135,Python
2020-07-24,10:00:00,0.1933267,0.0503967,1.6414315,2.2230931,Python
2020-07-24,11:00:00,0.153959,0.04400778571428571,1.5546655,2.313365071428571,Python
2020-07-24,12:00:00,0.165274125,0.036288625,1.799722625,2.4147845,Python
2020-07-24,13:00:00,0.1583111,0.035679475,1.76471685,2.446406,Python
2020-07-24,14:00:00,0.151348075,0.035070325,1.729711075,2.4780275,Python
2020-07-24,15:00:00,0.14438505,0.034461175,1.6947053,2.509649,Python
2020-07-24,16:00:00,0.137422025,0.033852025,1.659699525,2.5412705,Python
2020-07-24,17:00:00,0.130459,0.033242875,1.62469375,2.572892,Python
2020-07-24,18:00:00,0.1843884375,0.046565625,1.634084,2.546317875,Python
2020-07-24,19:00:00,0.238317875,0.059888375,1.64347425,2.51974375,Python
2020-07-24,20:00:00,0.2429715,0.055445,1.725531,2.514103,Python
2020-07-24,21:00:00,0.4243416666666667,0.101101,1.649011,2.488402,Python
2020-07-24,22:00:00,0.4492453125,0.1094759375,1.6171404375,2.457847625,Python
2020-07-24,23:00:00,0.402,0.0872,1.7428000000000001,2.4232,Excel
