Date(yyyy:mm:dd),Ozono (DU)
2018-08-05,278.7250061035156
2018-08-13,275.8999938964844
2020-05-03,329.67498779296875
2020-07-24,269.95001220703125
2020-07-25,277.32501220703125
2020-07-26,266.8500061035156
2021-08-21,287.29998779296875
